finca,mg,bio_aerea,bio_sub,bio_total,area_foliar,diametro,altura
FINCA_1,GENOTIPO_1,12.8,0.93,13.73,44.451,4.7,5
FINCA_1,GENOTIPO_1,13.89,0.69,14.58,39.669,5.3,5.6
FINCA_1,GENOTIPO_1,15.1,0.78,15.88,45.618,4.8,5.8
FINCA_1,GENOTIPO_1,8.08,0.91,8.99,29.488,3.2,4.3
FINCA_1,GENOTIPO_1,5.58,1.41,6.99,22.534,2.2,3.3
FINCA_1,GENOTIPO_2,18.5,0.84,19.34,34.233,6.3,7.9
FINCA_1,GENOTIPO_2,20.62,0.82,21.44,33.307,6.6,8.3
FINCA_1,GENOTIPO_2,12.73,1.08,13.81,25.126,5.3,7.3
FINCA_1,GENOTIPO_2,10.57,1.31,11.88,24,4.9,6.7
FINCA_1,GENOTIPO_2,15.7,0.92,16.62,34.495,5.9,7.1
FINCA_1,GENOTIPO_1,5.44,1.59,7.03,20.499,2.5,3.7
FINCA_1,GENOTIPO_1,15.1,0.73,15.83,43.049,4.7,5.7
FINCA_1,GENOTIPO_1,5.97,1.5,7.47,24.902,2.2,3.5
FINCA_1,GENOTIPO_1,6.46,1.41,7.87,24.152,3.1,4
FINCA_1,GENOTIPO_1,9.74,1.3,11.04,34.157,3.7,4.6
FINCA_1,GENOTIPO_2,19.71,0.7,20.41,43.776,6.5,7.6
FINCA_1,GENOTIPO_2,19.07,0.99,20.06,36.503,6.4,8
FINCA_1,GENOTIPO_2,17.71,0.98,18.69,33.759,6.3,8.1
FINCA_1,GENOTIPO_2,10.9,1.1,12,23.755,4.9,7
FINCA_1,GENOTIPO_2,9.55,1.14,10.69,24.706,4.6,6.5
FINCA_1,GENOTIPO_1,13.17,0.92,14.09,44.53,4.2,5.2
FINCA_1,GENOTIPO_1,8.92,1.41,10.33,25.567,3.6,4.6
FINCA_1,GENOTIPO_1,17.49,0.67,18.16,49.781,5.6,6.2
FINCA_1,GENOTIPO_1,12.85,0.76,13.61,43.671,4.6,5.5
FINCA_1,GENOTIPO_1,8.67,1.26,9.93,30.912,3.5,4.3
FINCA_1,GENOTIPO_2,10.89,1.18,12.07,24.443,5,6.4
FINCA_1,GENOTIPO_2,8.42,1.47,9.89,23.614,4.3,6.3
FINCA_1,GENOTIPO_2,4.93,2.05,6.98,15.19,3,4.8
FINCA_1,GENOTIPO_2,13.3,1.14,14.44,29.255,5.5,7.4
FINCA_1,GENOTIPO_2,7.36,1.37,8.73,24.429,4,5.3
FINCA_2,GENOTIPO_2,15.32,0.92,16.24,33.161,5.8,8.1
FINCA_2,GENOTIPO_2,15.09,0.99,16.08,25.895,5.9,7.5
FINCA_2,GENOTIPO_2,23.01,0.81,23.82,34.623,7.1,9.3
FINCA_2,GENOTIPO_2,30.3,0.53,30.83,52.093,7.9,10.9
FINCA_2,GENOTIPO_2,25.7,0.68,26.38,44.804,7.1,9.2
FINCA_2,GENOTIPO_1,8.36,1.61,9.97,28.064,3.7,4.4
FINCA_2,GENOTIPO_1,16.12,0.89,17.01,44.669,5.4,6.2
FINCA_2,GENOTIPO_1,13.89,0.86,14.75,42.287,5.1,5.5
FINCA_2,GENOTIPO_1,20.18,0.57,20.75,47.214,6.2,6.8
FINCA_2,GENOTIPO_1,4.48,1.5,5.98,24.677,2.5,3.5
FINCA_2,GENOTIPO_2,24.41,0.83,25.24,50.199,6.6,8.6
FINCA_2,GENOTIPO_2,18.89,0.92,19.81,44.402,6.9,8.1
FINCA_2,GENOTIPO_2,31.88,0.56,32.44,54.093,7.9,9.4
FINCA_2,GENOTIPO_2,32.07,0.62,32.69,56.398,7.8,10
FINCA_2,GENOTIPO_2,15.87,1.07,16.94,32.846,5.4,8
FINCA_2,GENOTIPO_1,18.31,0.71,19.02,49.355,6,6
FINCA_2,GENOTIPO_1,13.91,1.08,14.99,42.336,5.2,5.8
FINCA_2,GENOTIPO_1,21.31,0.7,22.01,48.895,6.5,7
FINCA_2,GENOTIPO_1,19.42,0.82,20.24,47.437,6.4,7.4
FINCA_2,GENOTIPO_1,19.39,0.67,20.06,52.889,6,6.6
FINCA_2,GENOTIPO_2,29.71,0.8,30.51,54.548,7.2,9.4
FINCA_2,GENOTIPO_2,32.8,0.62,33.42,56.127,7.7,10.1
FINCA_2,GENOTIPO_2,44.79,0.62,45.41,74.757,8.7,9.6
FINCA_2,GENOTIPO_2,37.23,0.51,37.74,59.894,8.2,10.5
FINCA_2,GENOTIPO_2,47.44,0.43,47.87,79.364,8.8,11.3
FINCA_2,GENOTIPO_1,12.03,0.92,12.95,37.646,4.8,5.5
FINCA_2,GENOTIPO_1,16.79,0.92,17.71,46.442,5.8,6
FINCA_2,GENOTIPO_1,22.13,0.62,22.75,57.845,6.6,6.1
FINCA_2,GENOTIPO_1,22.45,0.57,23.02,49.458,6.8,7.5
FINCA_2,GENOTIPO_1,13.06,0.97,14.03,41.803,5,5.7
FINCA_3,GENOTIPO_2,12.33,1.65,13.98,36.828,4.7,5.8
FINCA_3,GENOTIPO_2,23.3,1.17,24.47,45.125,6,7.2
FINCA_3,GENOTIPO_2,21.57,1.25,22.82,37.509,6.7,7.8
FINCA_3,GENOTIPO_2,20.68,1.12,21.8,51.749,6.8,7.3
FINCA_3,GENOTIPO_2,16.98,1.14,18.12,36.5,5.9,7.7
FINCA_3,GENOTIPO_2,21.51,1.34,22.85,45.65,6,7.3
FINCA_3,GENOTIPO_2,21.72,1.42,23.14,44.023,6,7.5
FINCA_3,GENOTIPO_2,26.09,1.24,27.33,52.192,6.4,8
FINCA_3,GENOTIPO_2,27.89,1.27,29.16,53.759,7,8.3
FINCA_3,GENOTIPO_2,15.72,1.54,17.26,35.868,5.2,6.5
FINCA_3,GENOTIPO_2,33.28,1.1,34.38,61.183,7,8.8
FINCA_3,GENOTIPO_2,26.48,1.39,27.87,46.158,6.7,8.3
FINCA_3,GENOTIPO_2,26.24,1.21,27.45,47.55,6.8,7.2
FINCA_3,GENOTIPO_2,29.72,1.44,31.16,55.354,6.7,8.5
FINCA_3,GENOTIPO_2,22.01,1.34,23.35,47.546,5.9,7.5
FINCA_3,GENOTIPO_1,13.25,1.27,14.52,40.333,4.4,4.9
FINCA_3,GENOTIPO_1,11.55,1.46,13.01,33.448,4.2,4.8
FINCA_3,GENOTIPO_1,15.1,1.09,16.19,42.688,4.7,5.6
FINCA_3,GENOTIPO_1,17.85,0.82,18.67,44.655,5.3,6
FINCA_3,GENOTIPO_1,12.08,1.15,13.23,36.985,4.4,4.6
FINCA_3,GENOTIPO_1,12.76,1.27,14.03,42.747,4.2,4.7
FINCA_3,GENOTIPO_1,12.09,1.21,13.3,43.147,3.8,4.3
FINCA_3,GENOTIPO_1,16.8,1.16,17.96,35.871,5.3,5.8
FINCA_3,GENOTIPO_1,17.61,1.06,18.67,49.154,5.2,6
FINCA_3,GENOTIPO_1,11.91,1.43,13.34,36.899,3.5,5
FINCA_3,GENOTIPO_1,14.08,1.32,15.4,42.005,4.1,4.6
FINCA_3,GENOTIPO_1,13.84,1.07,14.91,38.951,3.9,4.8
FINCA_3,GENOTIPO_1,16.49,1.24,17.73,45.214,5,5.2
FINCA_3,GENOTIPO_1,19.95,1.17,21.12,52.641,5.4,6
FINCA_3,GENOTIPO_1,17.05,1.44,18.49,46.655,4.5,5.1